# symbol : ALXN															
# jumpid : 439611															
# date   : 20161107															
nsec	volume	sqrtvolume	bidprice	bidsize	askprice	asksize	emavol0	emavol1	emabid0	emabid1	emaask0	emaask1	emaspr0	emaspr1	cluster1
21600	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21610	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21620	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21630	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21640	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21650	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21660	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21670	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21680	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21690	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21700	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21710	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21720	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21730	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21740	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21750	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21760	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21770	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21780	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21790	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21800	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21810	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21820	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21830	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21840	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21850	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21860	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21870	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21880	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21890	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21900	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21910	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21920	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21930	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21940	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21950	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21960	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21970	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21980	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
21990	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
22000	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
22010	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
22020	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
22030	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
22040	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
22050	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
22060	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14300	14300	0
22070	0	0	1295800	100	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14291.1	14299.1	0
22080	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14286.1	14298.1	0
22090	0	0	1295700	5	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14290	14298.2	0
22100	0	0	1295700	105	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14292.9	14298.2	0
22110	0	0	1295800	70	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14292.6	14298.1	0
22120	0	0	1296200	100	1310000	100	0	0	1.30E+06	1.30E+06	1.31E+06	1.31E+06	14259.7	14294.2	0
