# symbol : ALXN															
# jumpid : 439611															
# date   : 20161111															
nsec	volume	sqrtvolume	bidprice	bidsize	askprice	asksize	emavol0	emavol1	emabid0	emabid1	emaask0	emaask1	emaspr0	emaspr1	cluster1
22090	0	0	1242900	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38616.7	39482.3	0
22100	0	0	1243000	60	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38611.6	39453.4	0
22110	0	0	1243500	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38438	39405.7	0
22120	0	0	1243500	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38313.7	39359.6	0
22130	0	0	1243500	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38224.6	39315	0
22140	0	0	1243500	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38160.9	39271.9	0
22150	0	0	1243500	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38115.2	39230.2	0
22160	0	0	1243500	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38082.5	39189.9	0
22170	0	0	1243500	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38059.1	39150.9	0
22180	0	0	1243500	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38042.3	39113.1	0
22190	0	0	1243500	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38030.3	39076.6	0
22200	0	0	1243500	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38021.7	39041.3	0
22210	0	0	1243500	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38015.5	39007.2	0
22220	0	0	1244100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37977.7	38970.7	0
22230	0	0	1244100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37813.7	38919.2	0
22240	0	0	1244100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37696.3	38869.4	0
22250	0	0	1244100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37612.2	38821.2	0
22260	0	0	1244100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37551.9	38774.6	0
22270	0	0	1244100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37508.8	38729.6	0
22280	0	0	1244100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37477.9	38686	0
22290	0	0	1244100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37455.8	38643.8	0
22300	0	0	1244100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37440	38603	0
22310	0	0	1244100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37428.6	38563.6	0
22320	0	0	1244100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37420.5	38525.4	0
22330	0	0	1244100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37414.7	38488.5	0
22340	0	0	1244700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37342.3	38445.6	0
22350	0	0	1244700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37188.3	38391.7	0
22360	0	0	1244700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	37078.1	38339.5	0
22370	0	0	1244700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	36999.2	38289	0
22380	0	0	1244700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	36942.6	38240.2	0
22390	0	0	1244700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	36902.1	38193	0
22400	0	0	1244700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	36873.1	38147.3	0
22410	0	0	1244700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	36852.4	38103.1	0
22420	0	0	1244700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	36837.5	38060.4	0
22430	0	0	1244700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	36826.9	38019.1	0
22440	0	0	1244700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	36819.2	37979.1	0
22450	0	0	1244700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	36813.8	37940.4	0
22460	0	0	1245300	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	36722.4	37893.7	0
22470	0	0	1245300	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	36574.1	37838.1	0
22480	0	0	1245300	600	1281500	60	0	0	1.25E+06	1.24E+06	1.28E+06	1.28E+06	36467.9	37784.4	0
22490	0	0	1245300	600	1281500	60	0	0	1.25E+06	1.24E+06	1.28E+06	1.28E+06	36391.9	37732.5	0
22500	0	0	1245300	600	1281500	60	0	0	1.25E+06	1.24E+06	1.28E+06	1.28E+06	36337.4	37682.2	0
22510	0	0	1230200	60	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	38845.5	37910	0
22520	0	0	1230200	60	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	42380.9	38349.1	0
22530	0	0	1230200	60	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	44912.7	38773.7	0
22540	0	0	1230200	60	1281500	60	0	0	1.23E+06	1.24E+06	1.28E+06	1.28E+06	46725.9	39184.4	0
22550	0	0	1230200	60	1281500	60	0	0	1.23E+06	1.24E+06	1.28E+06	1.28E+06	48024.3	39581.7	0
22560	0	0	1230200	60	1281500	60	0	0	1.23E+06	1.24E+06	1.28E+06	1.28E+06	48954.2	39965.9	0
22570	0	0	1230200	60	1281500	60	0	0	1.23E+06	1.24E+06	1.28E+06	1.28E+06	49620.1	40337.6	0
22580	0	0	1230200	60	1281500	60	0	0	1.23E+06	1.24E+06	1.28E+06	1.28E+06	50097	40697	0
22590	0	0	1230200	60	1281500	60	0	0	1.23E+06	1.24E+06	1.28E+06	1.28E+06	50438.5	41044.7	0
22600	0	0	1230200	60	1281500	60	0	0	1.23E+06	1.24E+06	1.28E+06	1.28E+06	50683	41381	0
22610	0	0	1230200	60	1281500	60	0	0	1.23E+06	1.24E+06	1.28E+06	1.28E+06	50858.2	41706.2	0
22620	0	0	1230200	60	1281500	60	0	0	1.23E+06	1.24E+06	1.28E+06	1.28E+06	50983.6	42020.8	0
22630	0	0	1238600	200	1281500	60	0	0	1.23E+06	1.24E+06	1.28E+06	1.28E+06	50057.1	42217.5	0
22640	0	0	1238800	400	1281500	60	0	0	1.23E+06	1.24E+06	1.28E+06	1.28E+06	47981.6	42235	0
22650	0	0	1239400	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	46399	42241.5	0
22660	0	0	1237500	100	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	45372.7	42257.3	0
22670	0	0	1237500	100	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	44983.1	42314.4	0
22680	0	0	1238100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	44628.7	42361.7	0
22690	0	0	1238100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	44279.9	42395.7	0
22700	0	0	1238100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	44030.1	42428.7	0
22710	0	0	1238100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	43851.3	42460.5	0
22720	0	0	1238100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	43723.2	42491.3	0
22730	0	0	1238100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	43631.4	42521.1	0
22740	0	0	1238100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	43565.7	42549.9	0
22750	0	0	1238100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	43518.7	42577.8	0
22760	0	0	1238100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	43485	42604.8	0
22770	0	0	1238100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	43460.9	42630.8	0
