# symbol : ALXN															
# jumpid : 439611															
# date   : 20161114															
nsec	volume	sqrtvolume	bidprice	bidsize	askprice	asksize	emavol0	emavol1	emabid0	emabid1	emaask0	emaask1	emaspr0	emaspr1	cluster1
21600	198	29.3356	1146500	600	1187500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41000	41000	68.7758
21610	198	29.3356	1146500	600	1187500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41056.2	41006.7	5.73E-42
21620	198	29.3356	1146500	600	1187400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41075.5	41010.2	2.25E-85
21630	198	29.3356	1146500	600	1187300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41051.4	41010.3	4.14E-129
21640	198	29.3356	1146500	600	1187300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41039.5	41010.7	3.55E-173
21650	198	29.3356	1145500	600	1187300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41029.8	41009.8	1.41E-217
21660	198	29.3356	1145500	600	1187300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41248	41035.6	2.59E-262
21670	198	29.3356	1145500	600	1187300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41427.8	41063.1	2.17E-307
21680	198	29.3356	1145500	600	1187300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41533.5	41087.2	0
21690	198	29.3356	1145500	600	1187200	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41586.7	41108.1	0
21700	198	29.3356	1145500	600	1187400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41667.3	41132.9	0
21710	198	29.3356	1146000	600	1190100	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41582.3	41140.7	0
21720	198	29.3356	1146000	600	1187400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41530.6	41149.2	0
21730	198	29.3356	1146000	600	1187400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41493.5	41157.4	0
21740	198	29.3356	1146000	600	1187400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41471.2	41165.9	0
21750	198	29.3356	1146000	600	1187300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41474.5	41176.2	0
21760	198	29.3356	1146000	600	1187300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41425	41180.2	0
21770	198	29.3356	1146000	600	1187300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41396.3	41184.6	0
21780	198	29.3356	1146000	600	1187300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41369	41188.4	0
21790	198	29.3356	1146000	600	1187200	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41343.6	41191.5	0
21800	198	29.3356	1146000	600	1187200	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41341.9	41196.4	0
21810	198	29.3356	1146000	600	1187000	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41277.9	41193.9	0
21820	198	29.3356	1146000	600	1187000	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41199	41187.6	0
21830	198	29.3356	1146000	600	1187000	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41142.5	41181.4	0
21840	198	29.3356	1146000	600	1187000	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41102.1	41175.5	0
21850	198	29.3356	1146000	600	1187000	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41073.1	41169.7	0
21860	198	29.3356	1146000	600	1187000	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41052.3	41164.1	0
21870	198	29.3356	1146000	600	1187000	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41037.5	41158.8	0
21880	198	29.3356	1146000	600	1187100	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41128.3	41164.9	0
21890	198	29.3356	1146000	600	1187000	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41111.6	41161.9	0
21900	198	29.3356	1146000	600	1186800	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	41052.4	41153.5	0
21910	198	29.3356	1146000	600	1186800	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40980.8	41141.9	0
21920	198	29.3356	1146000	600	1186800	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40986.4	41137.5	0
21930	198	29.3356	1146000	600	1186800	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40933.5	41126.4	0
21940	198	29.3356	1146000	600	1186800	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40909.4	41117.5	0
21950	198	29.3356	1146000	600	1186800	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40878.4	41107	0
21960	198	29.3356	1146000	600	1186800	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40856.1	41097	0
21970	198	29.3356	1146000	600	1186800	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40840.2	41087.2	0
21980	198	29.3356	1146000	600	1186900	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40852.7	41080.5	0
21990	198	29.3356	1146000	600	1186800	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40849.4	41072.7	0
22000	198	29.3356	1146000	600	1186700	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40823.4	41062.5	0
22010	198	29.3356	1146000	600	1186600	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40785.8	41050.4	0
22020	198	29.3356	1146000	600	1186600	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40779.8	41041.2	0
22030	198	29.3356	1146000	600	1186700	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40764.7	41030.8	0
22040	198	29.3356	1146000	600	1186500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40721.7	41017.2	0
22050	198	29.3356	1146000	600	1186500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40682	41002.6	0
22060	198	29.3356	1146000	600	1186500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40648.5	40988.5	0
22070	198	29.3356	1146000	600	1186500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40606.3	40972.5	0
22080	198	29.3356	1146000	600	1186500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40576.1	40957	0
22090	198	29.3356	1146000	600	1186500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40554.5	40942	0
22100	198	29.3356	1146000	600	1186400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40576.9	40931.7	0
22110	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40621.3	40924.9	0
22120	198	29.3356	1145500	1000	1186200	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40669.4	40920.5	0
22130	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40717.5	40917.7	0
22140	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40753.4	40914.9	0
22150	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40805.8	40916.2	0
22160	198	29.3356	1145500	1600	1186400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40871.5	40920.1	0
22170	198	29.3356	1145500	1600	1186400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40909.1	40923.6	0
22180	198	29.3356	1145600	300	1186500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40928.3	40925.2	0
22190	198	29.3356	1145600	300	1186500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40920.3	40924.4	0
22200	198	29.3356	1145600	300	1186400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40893.4	40921.2	0
22210	198	29.3356	1145600	300	1186500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40910.2	40922.5	0
22220	198	29.3356	1145600	300	1186500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40918.1	40922.9	0
22230	198	29.3356	1145600	300	1186500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40912.9	40922.2	0
22240	198	29.3356	1145600	300	1186500	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40929.6	40923.8	0
22250	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40919.4	40922.7	0
22260	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40948.7	40926.1	0
22270	198	29.3356	1145500	1000	1186200	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40931.6	40924.8	0
22280	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40903.6	40921.7	0
22290	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40874.2	40917.7	0
22300	198	29.3356	1145500	1000	1186200	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40879.1	40916.9	0
22310	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40911.3	40919	0
22320	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40879.7	40915.1	0
22330	198	29.3356	1145500	1600	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40912.4	40918.1	0
22340	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40914.2	40917.9	0
22350	198	29.3356	1145600	300	1186400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40961	40923.5	0
22360	198	29.3356	1145600	300	1186400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40915.3	40919.5	0
22370	198	29.3356	1145500	1000	1186400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40904.2	40918	0
22380	198	29.3356	1145600	300	1186400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40940.1	40921.8	0
22390	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40900.6	40917.9	0
22400	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40893.9	40916.5	0
22410	198	29.3356	1145500	1600	1186400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40907.3	40916.8	0
22420	198	29.3356	1145500	1600	1186400	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40905.3	40916.3	0
22430	198	29.3356	1145500	1000	1186300	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40889.2	40914.3	0
22440	198	29.3356	1145500	1000	1186200	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40894.5	40914.3	0
22450	198	29.3356	1145500	1000	1186200	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40850.4	40908.6	0
22460	198	29.3356	1145500	1000	1186100	200	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40800.3	40901	0
22470	198	29.3356	1145500	1000	1185500	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40668.1	40883.2	0
22480	198	29.3356	1145500	1000	1185500	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40478.5	40854.2	0
22490	198	29.3356	1145500	1000	1185500	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40342.7	40826.2	0
22500	198	29.3356	1145500	1000	1185500	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40245.4	40799.1	0
22510	198	29.3356	1145500	1000	1186000	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40317.7	40789.3	0
22520	198	29.3356	1145500	1000	1186000	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40369.4	40779.8	0
22530	198	29.3356	1145500	1000	1186000	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40406.5	40770.6	0
22540	198	29.3356	1145500	1000	1186000	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40433	40761.8	0
22550	198	29.3356	1145500	1000	1186000	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40452	40753.2	0
22560	198	29.3356	1145500	1000	1186000	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40465.7	40744.9	0
22570	198	29.3356	1145500	1000	1186000	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40475.4	40736.9	0
22580	198	29.3356	1145500	1000	1186000	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40482.4	40729.1	0
22590	198	29.3356	1145500	1000	1186000	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40487.4	40721.6	0
22600	198	29.3356	1145500	1000	1186000	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40491	40714.3	0
22610	198	29.3356	1145500	1000	1186000	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40493.5	40707.3	0
22620	198	29.3356	1145500	1000	1186000	100	29.3356	29.3356	1.15E+06	1.15E+06	1.19E+06	1.19E+06	40495.4	40700.5	0
