# symbol : ALXN															
# jumpid : 439611															
# date   : 20161115															
nsec	volume	sqrtvolume	bidprice	bidsize	askprice	asksize	emavol0	emavol1	emabid0	emabid1	emaask0	emaask1	emaspr0	emaspr1	cluster1
21600	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	386.545
21610	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	12.748
21620	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	0.315268
21630	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	0.00584187
21640	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	8.10E-05
21650	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	8.41E-07
21660	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	6.52E-09
21670	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	3.78E-11
21680	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.63E-13
21690	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	5.26E-16
21700	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.26E-18
21710	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	2.25E-21
21720	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	2.99E-24
21730	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	2.95E-27
21740	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	2.16E-30
21750	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.17E-33
21760	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	4.71E-37
21770	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.40E-40
21780	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	3.08E-44
21790	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	5.01E-48
21800	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	6.02E-52
21810	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	5.33E-56
21820	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	3.48E-60
21830	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.67E-64
21840	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	5.90E-69
21850	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.53E-73
21860	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	2.91E-78
21870	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	4.07E-83
21880	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	4.17E-88
21890	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	3.12E-93
21900	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.71E-98
21910	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	6.84E-104
21920	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	2.00E-109
21930	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	4.25E-115
21940	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	6.59E-121
21950	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	7.43E-127
21960	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	6.09E-133
21970	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	3.62E-139
21980	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.56E-145
21990	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	4.90E-152
22000	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.11E-158
22010	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.82E-165
22020	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	2.15E-172
22030	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.83E-179
22040	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.13E-186
22050	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	4.99E-194
22060	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.59E-201
22070	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	3.64E-209
22080	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	5.98E-217
22090	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	7.04E-225
22100	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	5.93E-233
22110	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	3.58E-241
22120	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.54E-249
22130	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	4.74E-258
22140	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.04E-266
22150	400	40	1189000	100	1206000	122	40	40	1.19E+06	1.19E+06	1.21E+06	1.21E+06	17000	17000	1.62E-275
